Company ID,TotalRev,ZipCode,NumEmployees,CallCycle,ContractType,OriginalSourceType,FirstConversion,Industry,MRR,LikelihoodToClose,Gauge,YearFounded,Strategic
2381350061,,,,Quarterly,,Offline Sources,,Oil & Energy,2200,,Green,,Yes
2262567841,"$14,700.00 ",,,,,,,,,,,,
1748405063,,45202,10000,Quarterly,SafetyNet Standard,Direct Traffic,Demo Request - Predictive Solutions: Request A Demo,Consumer Goods,,0.6,Green,1837,Yes
1703033550,,,,Half Year,,Direct Traffic,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: Download Your Whitepaper - Four Safety Truths",Oil & Energy,2500,4.05,Green,,No
1700190832,,,,Half Year,,Offline Sources,,Oil & Energy,2500,,Green,,No
1696709739,"$72,262.50 ",77079,10000,,,,,Oil & Energy,,,,1909,Yes
1696687616,"$384,345.50 ",77079,10000,,,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,Oil & Energy,,,,1909,Yes
1096462877,,,,Every Other Month,On going true up,Offline Sources,,Oil & Energy,6000,1.45,Green,,Yes
1094673893,"$55,680.00 ",63139,500,Monthly,,Offline Sources,Internal - Document Viewer Communication Consent Form,Telecommunications,1080,8.03,,1963,
1021068106,"$33,984.00 ",22939,200,Every Other Month,SafetyNet Standard,Offline Sources,,Machinery,544,4.77,Yellow,1971,No
527430738,"$3,840.00 ",6359,500,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,320,,Yellow,1968,No
527430790,,60048,1000,Half Year,SafetyNet Standard,Offline Sources,Free Trial - Predictive Solutions: Free Trial - PREDICT & ACT ON RISK IN THE WORKPLACE,Construction,2392,33.5,Green,1932,No
527427170,"$98,760.00 ",97217,500,Yearly,SafetyNet Evergreen,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper,Construction,2676.67,,Green - Flat,1950,No
887798379,,18001,,,,Offline Sources,,,,7.29,,,
527430741,"$14,256.00 ",75219,200,Yearly,SafetyNet Standard,Offline Sources,,Construction,396,,Green,1991,No
827332971,"$1,231,600.00 ",75039,10000,,,Offline Sources,,,,26.3,,1870,
826177831,"$11,886.85 ",,,Quarterly,SafetyNet Standard,Offline Sources,,Oil & Energy,10625,1.27,Green,,Yes
528316779,,77024,200,Yearly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,300,,Green,1995,No
726181530,"$1,200.00 ",84102,50,,Basic SNT Evergreen,Offline Sources,,,100,26.3,Red,2001,No
527427189,,48034,5000,Yearly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,Construction,3535,2.95,Yellow,1924,No
691302339,"$5,300.00 ",85215,200,,Basic SNT Evergreen,,,,442,,Green,2008,No
607507487,"$50,400.00 ",29601,10000,Monthly,SafetyNet Standard,Offline Sources,Demo Request - Predictive Solutions: Request A Demo,Construction,1500,,Green,1968,No
686130277,"$3,400.00 ",15010,50,,,Organic Search,Free Trial - Predictive Solutions: Request Your Trial ,Management Consulting,141.67,23.45,,2005,
667851167,,29153,,Quarterly,SafetyNet Standard,Offline Sources,,Business Supplies and Equipment,1970,,Green,,Yes
635381979,,,,Yearly,,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,,,,,,
635376285,"$86,224.00 ",15106,,Yearly,SafetyNet Standard,Organic Search,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: Download Your Whitepaper - Four Safety Truths",,1984,,Green,2011,No
527714636,"$12,960.00 ",66012,500,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,540,,Green,1959,No
603931703,"$31,920.00 ",85016,5000,Yearly,SafetyNet Standard,Organic Search,SmartWork | Request a Demo: Request a Demo SmartWork,Real Estate,470,,Red,2000,No
564590673,,23607,200,,,Offline Sources,,,,0.55,,1886,
527762476,"$60,000.00 ",91340,500,Yearly,SafetyNet Standard,Offline Sources,Demo Request - Predictive Solutions: Request A Demo,Construction,1000,,Green,1974,No
540061715,"$58,564.00 ",92112,5000,Quarterly,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,Utilities,2790,3.99,Green,1881,Yes
531285180,"$35,072.00 ",,,Quarterly,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,,0,,Green,,Yes
528347585,,,,Yearly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,,200,,Green,,No
528347582,"$14,700.00 ",L6C 0H9,1000,Quarterly,SafetyNet Standard,Referrals,"Newsletter Subscription: New newsletter signup form (March 20, 2019 3:24:51 PM) ",Automotive,3545,,Green,1969,Yes
528347580,"$105,000.00 ",,,Every Other Month,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,,2833.34,,Green,,Yes
528347579,"$96,580.00 ",,,Every Other Month,SafetyNet Standard,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,,1667.67,,Green,,Yes
528347574,"$8,160.00 ",,,Yearly,SafetyNet Evergreen,Offline Sources,Predictive Solutions | Predictive Analytics Webinar Registration: Webinar Registration - Artificial Intelligence 7.25.2018,,340,,Green,,No
528347572,,,,Quarterly,SafetyNet Standard,Offline Sources,,,3750,,Green,,Yes
528347571,,,,Monthly,SafetyNet Evergreen,,,,40355,,Green - Flat,,Yes
528347570,,,,,SafetyNet Standard,,,,,,,,
528347568,,,,Quarterly,SafetyNet Standard,,,,,,,,
528347567,,,,,SafetyNet Standard,,,,,,,,
528347566,,,,,SafetyNet Standard,,,,,,,,
528347565,,,,,SafetyNet Standard,,,,,,,,
528347564,,10003,50,Yearly,SafetyNet Standard,Offline Sources,,,1100,0.99,Green,,No
528347563,,,,,SafetyNet Standard,,,,,,,,
528347562,,,,,SafetyNet Standard,,,,,,,,
528347561,,,,Quarterly,SafetyNet Standard,,,,,,,,
528328593,,,,Quarterly,SafetyNet Standard,,,,,,,,
528328590,,,,,SafetyNet Standard,,,,,,,,
528347559,"$1,976.00 ",,,Half Year,SafetyNet Standard,,,,2500,,Green,,Yes
528347558,"$1,200.00 ",,,Yearly,SafetyNet Standard,Offline Sources,,,100,,Red,,No
528347557,"$2,400.00 ",,,Yearly,SafetyNet Standard,,,,0,,Green,,
528347555,,,,Yearly,SafetyNet Standard,Offline Sources,,,670,,Green,,No
528347552,,,,Yearly,SafetyNet MTM,,,,1806,,Green,,No
527427179,,58503,10000,Quarterly,SafetyNet Evergreen,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: WP - Four Safety Truths",Construction,4297,37.55,Green - Flat,1981,No
527430704,"$8,000.00 ",76011,50,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,333,,Green,1946,No
527430703,,46260,1000,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,2100,39.8,Green,1967,No
527527748,"$104,760.00 ",44035,5000,Half Year,SafetyNet Evergreen,Offline Sources,,Transportation/Trucking/Railroad,2910,17.3,Yellow,1930,No
527778537,"$12,240.00 ",77381,1000,Yearly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,,200,2.25,Red,1963,No
527430749,,70002,200,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: Home Page Popup - 7 Leading Indicators,Construction,843,,Green,1973,No
527519460,"$40,200.00 ",27517,500,Yearly,SafetyNet Evergreen,Offline Sources,,Renewables & Environment,700,,Green,2008,No
527770347,"$26,880.00 ",35203,10000,Yearly,,Offline Sources,,,,,Green,1828,
527430711,"$16,320.00 ",77092,200,Yearly,SafetyNet Standard,Offline Sources,,Construction,640,,Red,1963,No
527519374,$700.00 ,98106,500,Yearly,SafetyNet MTM,Offline Sources,,Maritime,700,,Green,1979,No
527768953,"$21,120.00 ",8648,200,Half Year,SafetyNet Standard,Offline Sources,,Electrical/Electronic Manufacturing,1760,1.62,Green,,No
527430728,"$10,752.00 ",76108,200,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,448,,Green,1979,No
527714569,"$13,200.00 ",75024,200,Yearly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper - Making the Case for Predictive Analytics,Construction,1100,12.14,Green,1985,No
528316778,,77040,200,Yearly,SafetyNet Standard,Offline Sources,,Construction,644,,Green - Flat,1897,No
527724493,"$11,800.00 ",60611,10000,Yearly,SafetyNet Standard,Offline Sources,7 Leading Indicators to Drive Safety Improvement: Leading Indicator | Whitepaper Download,Construction,300,,Yellow,1881,No
527762529,"$79,200.00 ",76040,200,Quarterly,SafetyNet Standard,Offline Sources,Contact Predictive Solutions - Workplace Safety Experts: Contact Sales - Predictive Solutions,Management Consulting,1800,1.98,Green,1961,No
546421145,"$1,200.00 ",19102,50,,Basic SNT Evergreen,Organic Search,SmartWork | Request a Demo: Request a Demo SmartWork,Construction,100,,,1991,No
527430743,"$9,600.00 ",20814,200,Yearly,SafetyNet Evergreen,Offline Sources,,Construction,400,4.05,Yellow,1961,No
767264663,"$3,600.00 ",3301,50,,Basic SNT Evergreen,Organic Search,Demo Request - Predictive Solutions: Request A Demo,Construction,100,0.48,,1986,No
527430714,,23228,500,Yearly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Construction,1311,,Green,1972,No
527430702,"$24,240.00 ",1757,1000,Yearly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,1010,,Green,1905,No
990002893,,29150,5000,,,Offline Sources,,Construction,,,,1986,Yes
527492766,,,,,SafetyNet Standard,,,,,,,,
527492763,,,,,SafetyNet Standard,,,,,,,,
527492762,,,,,SafetyNet Standard,,,,,,,,
527492761,,,,,SafetyNet Standard,,,,,,,,
527492759,,,,,SafetyNet Standard,,,,,,,,
527492755,,,,,SafetyNet Standard,,,,,,,,
527492736,,,,,SafetyNet Standard,,,,,,,,
976158246,"$7,200.00 ",24531,25,,Basic SNT Evergreen,Organic Search,Contact Predictive Solutions - Workplace Safety Experts: Contact Sales - Predictive Solutions,Construction,200,5.53,,1965,No
527427096,"$186,120.00 ",75033,1000,Quarterly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,2075,2.18,Green,1937,No
527744510,"$51,120.00 ",60510,5000,Half Year,SafetyNet Standard,Offline Sources,The Complete Safety Checklist [eBook]: Download Your eBook,Research,1700,7.98,Green,1967,No
527744406,"$7,000.00 ",19102,10000,Yearly,SafetyNet Standard,Offline Sources,Contact Predictive Solutions - Work Place Safety Experts: Contact Sales,Government Administration,500,,Green,1681,No
527744335,"$138,000.00 ",77057,500,Quarterly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Real Estate,5750,,Green,1982,Yes
527744203,"$104,886.00 ",70471,50,Quarterly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,Oil & Energy,2450,,Green,1993,Yes
527427018,"$1,200.00 ",20701,500,Yearly,SafetyNet Standard,Offline Sources,,Construction,640,,Green,1920,No
527477554,,34471,,,Basic SNT Evergreen,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper - Making the Case for Predictive Analytics,Management Consulting,125,,,2001,No
527762450,"$20,400.00 ",64116,200,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,1700,0.67,Red,1984,No
527714646,"$19,728.00 ",66725,5000,Yearly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,822,1.06,Green,1978,No
527476612,"$41,184.00 ",63167,10000,Yearly,SafetyNet Evergreen,Direct Traffic,Making the Case for Predictive Analytics in Workplace Safety: WP - Making the Case Whitepaper,Farming,1216,,Green,2000,Yes
527430782,"$28,800.00 ",76155,500,Yearly,SafetyNet Standard,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: WP - Four Safety Truths",Construction,800,3.06,Green,2002,No
527476065,"$32,840.00 ",35242,200,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Building Materials,460,7.98,Green,1956,No
527744511,,85282,500,Yearly,SafetyNet Standard,Offline Sources,,Construction,240,,Red,1990,No
527427166,,21114,200,,Basic SNT Evergreen,Offline Sources,,Construction,100,,,,No
527762547,"$19,200.00 ",2905,200,Yearly,SafetyNet Evergreen,Offline Sources,SmartWork | Request a Trial: Request a Trial SmartWork,Construction,400,,Green,1930,No
528347583,"$1,260,865.24 ",37902,10000,Monthly,SafetyNet Standard,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: WP - Four Safety Truths",Utilities,18749.99,2.13,Green,1933,Yes
527741704,,22904,10000,Yearly,SafetyNet Standard,Offline Sources,,Higher Education,1377,,Yellow,1819,No
527453013,"$653,824.00 ",55441,10000,Monthly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper,Mining & Metals,8650,19.46,Green,2004,Yes
527499250,,44125,500,Quarterly,SafetyNet Standard,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: Download Your Whitepaper",Construction,3173,,Green,1941,No
527444500,"$5,000.00 ",92078,10000,Yearly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Oil & Energy,400,,Green,1924,No
527427225,"$775,200.00 ",94063,5000,Quarterly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,17150,2.39,Yellow,1990,Yes
528242181,"$45,090.00 ",28791,10,Yearly,SafetyNet Standard,Offline Sources,,Construction,320,,Green,1985,No
527430780,"$18,000.00 ",15108,5000,Quarterly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,,6500,,Green,2000,Yes
527476832,"$90,000.00 ",23607,200,Yearly,SafetyNet Evergreen,Offline Sources,,,2500,,Green,1886,No
527714638,,63005,50,Yearly,SafetyNet Evergreen,Offline Sources,Making the Case for Predictive Safety Analytics in the Workplace: WP - Making the Case Whitepaper,Management Consulting,570,33.58,Green,1998,No
527430772,"$8,892.00 ",20770,5000,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Real Estate,247,,Green,1988,No
527511295,"$7,200.00 ",46809,200,Yearly,SafetyNet Standard,Offline Sources,,Construction,200,34.03,Green,1948,No
527714565,"$85,500.00 ",46250,1000,Yearly,SafetyNet Evergreen,Offline Sources,SafetyNet Web Services / APIs - Predictive Solutions: LP - SafetyNet Web Services/APIs,Construction,2375,45.95,Green - Flat,1984,No
527427082,"$397,600.00 ",2903,500,Monthly,SafetyNet Standard,Offline Sources,Saving Lives at Work [White Paper]: WP - Saving Lives at Work ,Construction,16565.67,0.51,Green,1873,Yes
